RT,PET_mz105_signal_1,PET_mz105_signal_2
16.05651667,38192.000,4034.000
16.06133333,37264.000,3813.000
16.06615,37640.000,4118.000
16.07096667,37968.000,3905.000
16.07578333,37456.000,3840.000
16.0806,36960.000,3679.000
16.08541667,40000.000,3748.000
16.09023333,40800.000,4295.000
16.09505,42432.000,4163.000
16.09986667,44440.000,3917.000
16.10468333,46040.000,4636.000
16.10948333,47504.000,4728.000
16.1143,47496.000,4393.000
16.11911667,48280.000,5131.000
16.12393333,50600.000,5050.000
16.12875,52056.000,5497.000
16.13356667,52008.000,5551.000
16.13838333,53296.000,5586.000
16.1432,53520.000,5517.000
16.14801667,52744.000,5065.000
16.15283333,53640.000,5452.000
16.15765,53976.000,4986.000
16.16246667,55456.000,4775.000
16.16728333,55480.000,4639.000
16.17208333,54736.000,4868.000
16.1769,54592.000,5798.000
16.18171667,55112.000,6231.000
16.18653333,53720.000,7013.000
16.19135,54120.000,8087.000
16.19616667,56192.000,9893.000
16.20098333,55120.000,9258.000
16.2058,54208.000,8792.000
16.21061667,53704.000,9128.000
16.21543333,56280.000,9045.000
16.22025,58440.000,7543.000
16.22506667,61840.000,7118.000
16.22988333,61944.000,6424.000
16.23468333,69272.000,5078.000
16.2395,70488.000,4219.000
16.24431667,75384.000,3376.000
16.24913333,78800.000,3408.000
16.25395,81032.000,3452.000
16.25876667,85184.000,3501.000
16.26358333,90552.000,3339.000
16.2684,88840.000,3941.000
16.27321667,89856.000,3729.000
16.27803333,86760.000,3856.000
16.28285,84800.000,3806.000
16.28766667,78248.000,4017.000
16.29246667,76744.000,4309.000
16.29728333,76024.000,4540.000
16.3021,77328.000,5258.000
16.30691667,78744.000,4956.000
16.31173333,80672.000,5125.000
16.31655,82176.000,5328.000
16.32136667,80496.000,6286.000
16.32618333,82424.000,7516.000
16.331,81232.000,7059.000
16.33581667,79760.000,8251.000
16.34063333,75024.000,8362.000
16.34545,75544.000,8372.000
16.35026667,72008.000,8916.000
16.35506667,70352.000,8727.000
16.35988333,68104.000,8977.000
16.3647,69576.000,7852.000
16.36951667,70416.000,8424.000
16.37433333,70624.000,9075.000
16.37915,79168.000,9011.000
16.38396667,83968.000,9225.000
16.38878333,87888.000,8988.000
16.3936,91608.000,9344.000
16.39841667,98824.000,8655.000
16.40323333,107584.000,7179.000
16.40805,111856.000,7122.000
16.41286667,116928.000,6376.000
16.41766667,120104.000,6101.000
16.42248333,121736.000,5053.000
16.4273,124664.000,4490.000
16.43211667,127416.000,3997.000
16.43693333,125744.000,4501.000
16.44175,123128.000,4310.000
16.44656667,113944.000,4816.000
16.45138333,106720.000,5321.000
16.4562,95304.000,4933.000
16.46101667,85896.000,5244.000
16.46583333,80224.000,5819.000
16.47065,75288.000,6134.000
16.47546667,70184.000,5524.000
16.48026667,65832.000,5593.000
16.48508333,67128.000,5607.000
16.4899,67288.000,6986.000
16.49471667,71936.000,6320.000
16.49953333,79952.000,5747.000
16.50435,86384.000,5133.000
16.50916667,100168.000,5514.000
16.51398333,113848.000,5392.000
16.5188,137472.000,5657.000
16.52361667,169088.000,5434.000
16.52843333,209536.000,4713.000
16.53325,265216.000,4583.000
16.53806667,327040.000,4854.000
16.54286667,407488.000,5253.000
16.54768333,496256.000,5358.000
16.5525,576384.000,4805.000
16.55731667,646080.000,5858.000
16.56213333,692544.000,6137.000
16.56695,733120.000,7519.000
16.57176667,781632.000,7839.000
16.57658333,798848.000,8705.000
16.5814,820480.000,8355.000
16.58621667,835648.000,7630.000
16.59103333,828928.000,7184.000
16.59585,808384.000,6759.000
16.60066667,781120.000,8003.000
16.60546667,788160.000,7357.000
16.61028333,762560.000,7049.000
16.6151,709440.000,6739.000
16.61991667,703552.000,7033.000
16.62473333,715712.000,6143.000
16.62955,734528.000,6451.000
16.63436667,759296.000,6088.000
16.63918333,771200.000,6038.000
16.644,746560.000,5774.000
16.64881667,538560.000,4877.000
16.65363333,185664.000,4864.000
16.65845,120232.000,4283.000
16.66326667,115576.000,4569.000
16.66806667,112328.000,4113.000
16.67288333,116832.000,4119.000
16.6777,117624.000,3589.000
16.68251667,118824.000,3178.000
16.68733333,124952.000,4077.000
16.69215,130664.000,4167.000
16.69696667,134848.000,3936.000
16.70178333,135424.000,4689.000
16.7066,141248.000,4681.000
16.71141667,142208.000,4599.000
16.71623333,137472.000,4715.000
16.72105,136768.000,3785.000
16.72586667,135808.000,3893.000
16.73066667,131024.000,3766.000
16.73548333,130824.000,3580.000
16.7403,129120.000,3991.000
16.74511667,122304.000,3901.000
16.74993333,121960.000,3768.000
16.75475,121304.000,3675.000
16.75956667,121240.000,3564.000
16.76438333,116880.000,3186.000
16.7692,117008.000,3755.000
16.77401667,120568.000,3519.000
16.77883333,118944.000,4567.000
16.78365,112344.000,3806.000
16.78846667,108936.000,4487.000
16.79326667,105640.000,4520.000
16.79808333,102224.000,5121.000
16.8029,97056.000,5423.000
16.80771667,98432.000,5979.000
16.81253333,93344.000,7170.000
16.81735,89736.000,7190.000
16.82216667,87336.000,7572.000
16.82698333,84616.000,7707.000
16.8318,85040.000,7730.000
16.83661667,84736.000,7039.000
16.84143333,80304.000,6478.000
16.84625,82304.000,6010.000
16.85106667,78600.000,6254.000
16.85586667,76664.000,5493.000
16.86068333,76464.000,6092.000
16.8655,78152.000,6356.000
16.87031667,79704.000,6857.000
16.87513333,78896.000,7898.000
16.87995,78576.000,9562.000
16.88476667,78200.000,10399.000
16.88958333,76456.000,12794.000
16.8944,76360.000,13933.000
